"LATITUDE","LONGITUDE"
26.6454066,-80.0473758
26.6601959,-80.1360681
26.6694047,-82.1515175
26.6707608,-80.2827199
26.704752,-81.852822
26.7825719,-81.36472
26.8614525,-80.0625336
26.8931384,-80.0996447
26.9129052,-80.2161491
26.9174016,-80.2315235
26.9215141,-80.2055074
26.9956146,-82.1117032
26.9988243,-82.0858545
27.0410671,-82.1782379
27.069784,-82.3360221
27.0734458,-82.1934759
27.0734692,-82.1935349
27.0984402,-82.4568558
27.1053444,-82.4221802
27.1186964,-82.4052234
27.1207015,-80.2048138
27.1224681,-80.2610439
27.1412731,-82.3966422
27.145318,-80.34409
27.1456364,-80.3218368
27.1638173,-80.2584851
27.164707,-80.2923856
27.2041827,-80.274868
27.2171019,-80.2502802
27.2226498,-82.5006562
27.229167,-80.835066
27.2496598,-80.3715363
27.27181,-82.40101
27.27737,-82.3064858
27.2838935,-80.2622984
27.287158,-80.395397
27.2904224,-80.2712013
27.2910095,-82.410538
27.2932316,-82.5180638
27.3043481,-82.472894
27.310526,-82.464979
27.314763,-82.4815536
27.3189354,-82.3055267
27.3273452,-80.3265059
27.3566453,-82.2611323
27.3764553,-82.5589523
27.383129,-82.5391695
27.413309,-82.434134
27.4236381,-82.4903985
27.4465608,-81.2340002
27.462893,-81.482534
27.489833,-82.641101
27.4901975,-80.3365344
27.4931055,-82.5889708
27.4999001,-82.6247505
27.5066268,-82.4086303
27.5087924,-99.5236149
27.5104933,-99.523918
27.5204248,-82.7273529
27.5449918,-81.5218002
27.562477,-82.4847319
27.5829457,-98.3039635
27.5871906,-81.8235863
27.587855,-82.445447
27.606572,-80.417608
27.6073682,-81.8729056
27.6184731,-80.3989391
27.6219915,-81.8218747
27.6469396,-97.2948146
27.6469919,-98.0877614
27.6952824,-80.3743685
27.709291,-80.442025
27.7332239,-82.4162978
27.7374406,-80.4246855
27.7547362,-82.7619678
27.7594418,-97.3879083
27.7622519,-80.5072535
27.7625442,-80.4624788
27.7700477,-80.4987581
27.7756321,-80.4792866
27.7802629,-82.6409973
27.7837332,-97.0983696
27.784738,-80.495021
27.7879095,-80.4784799
27.7969641,-80.4893032
27.806174,-82.645391
27.8078581,-82.624856
27.811065,-81.548428
27.8533955,-81.5762787
27.85349,-82.8339912
27.8535221,-82.8342172
27.869544,-82.7948985
27.8773596,-82.2634503
27.8842633,-82.827301
27.9033366,-82.798811
27.908855,-82.8160143
27.909756,-82.49222
27.914194,-82.277125
27.9254503,-82.7216274
27.9254642,-82.7216055
27.9309862,-82.4573278
27.9392681,-81.9525604
27.9452676,-82.7646864
27.9473232,-82.7767417
27.9505337,-81.9274345
27.9614689,-81.6097726
27.9699269,-82.7401719
27.969957,-82.7399683
27.9727428,-82.7051684
27.9759267,-81.6654666
27.980937,-82.766942
27.9940325,-82.4478472
27.9944185,-82.7362726
27.9951605,-81.7918077
28.0031389,-81.9748282
28.0042135,-82.7853999
28.011515,-80.656543
28.0131798,-82.7524033
28.0139999,-82.4359207
28.015841,-81.942874
28.0168323,-82.5617838
28.0210092,-81.6187084
28.0339553,-82.7832489
28.0364625,-82.4354
28.04087,-82.702318
28.0423959,-80.6088192
28.0429705,-82.6226807
28.0439364,-80.6127714
28.0465285,-81.9313923
28.048241,-82.601719
28.05022,-81.934481
28.057856,-80.633219
28.0660351,-82.7336168
28.0742418,-82.7429111
28.0748672,-80.6301575
28.07573,-80.660574
28.0758994,-80.6560957
28.07946,-82.44511
28.0807039,-80.6104673
28.0944502,-82.4667082
28.1049902,-82.4759316
28.1138911,-80.5778012
28.1168902,-82.5725019
